ITEM,SELING PRICE,CATEGORY,DEPARTEMENT
masala / ginger tea,5000,coffee,coffee shop
green herbal tea,4500,tea,coffee shop
black tea,2500,tea,coffee shop
dawa infusion,4500,tea,coffee shop
hot chcocolate,5000,tea,coffee shop
irish coffee,7500,bozzy coffee,coffee shop
russian coffee,7500,bozzy coffee,coffee shop
calypso coffee,7500,bozzy coffee,coffee shop
strawberry smoothy,7500,smoothie,coffee shop
mango smoothy,7500,smoothie,coffee shop
banana smoothy,7500,smoothie,coffee shop
tripical mix smoothy,7000,smoothie,coffee shop
green herbal juice,8000,health juice,coffee shop
zanzi special juice,8000,health juice,coffee shop
eye sight juice,8000,health juice,coffee shop
relaxation juice,8000,health juice,coffee shop
virgin mary juice,8000,health juice,coffee shop
farmers special juice,8000,health juice,coffee shop
vitamin C,8000,health juice,coffee shop
special omelet,12000,breakfast,kichen
jambo fronage omelet,10000,breakfast,kichen
ala zanzi omelet,12000,breakfast,kichen
spanish omelet,10000,breakfast,kichen
fromage croissant,5000,pasiterie,kichen
croissant beurre,3500,pasiterie,kichen
croissant chocolate,4500,pasiterie,kichen
croissant nature,3000,pasiterie,kichen
baguette special,3000,pasiterie,kichen
baguette locale,2500,pasiterie,kichen
pac pac 400gr,3000,pasiterie,kichen
pacpac 800gr,6000,pasiterie,kichen
pacpac brown 400gr,4000,pasiterie,kichen
petite hamburger,1500,pasiterie,kichen
iced cappuccino,5000,coffee,coffee shop
iced late coffee,5500,coffee,coffee shop
iced mocha coffee,5500,coffee,coffee shop
iced tea,4500,coffee,coffee shop
mint tea,4500,tea ,coffee shop
